0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,chain_break_fraction,energy,num_occurrences
1,1,0,1,1,0,1,0,1,1,1,1,0,0,1,1,0.0,-5.782108836112442,279
0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0.0,-5.773096716642735,248
1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,0.0,-5.771212836737805,334
0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0.0,-5.760905815600091,220
1,1,0,1,1,0,1,0,1,0,1,1,0,1,1,1,0.0,-5.734645115601936,189
0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0.0,-5.720905815600091,139
0,1,0,1,0,0,1,0,0,1,1,1,1,1,1,1,0.0,-5.5199633153337935,55
1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0.0,-5.516551577173965,51
1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0.0,-5.4873484870358045,48
0,0,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0.0,-5.487038667499336,35
1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0.0,-5.486723719480635,64
0,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1,0.0,-5.484260624157944,38
1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,0.0,-5.465693907896759,20
0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0.0,-5.46,16
0,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,0.0,-5.431360567827923,45
0,0,1,0,0,1,0,1,0,0,1,1,1,1,1,1,0.0,-5.427774548997743,24
0,0,1,1,0,1,0,0,0,0,1,1,1,1,1,1,0.0,-5.424996505656351,19
1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0.0,-5.423975856446496,41
1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0.0,-5.423351088891327,45
1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0.0,-5.414670386420853,13
0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,1,0.0,-5.40005935021642,17
1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0.0,-5.389630106273873,10
0,0,1,0,0,1,0,1,0,0,1,0,1,1,1,1,0.0,-5.315044958780014,2
1,1,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0.0,-5.313351088891327,10
1,1,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0.0,-5.241609359060527,3
0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,1,0.0,-5.239194716861501,3
1,1,0,1,1,0,1,0,1,0,0,1,1,1,1,1,0.0,-5.152076002252878,1
0,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,0.0,-5.13306831760362,2
1,1,0,0,1,0,1,0,1,1,1,1,0,0,1,1,0.0,-5.132108836112444,1
0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0.0,-5.129482298773437,1
1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0.0,-5.12920521864165,1
1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0.0,-5.128580451086481,2
0,0,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0.0,-5.126704255432045,2
0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0.0,-5.1220613591132,1
1,1,0,0,1,0,1,0,1,0,1,1,1,1,1,1,0.0,-5.121212836737804,4
1,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,0.0,-5.120041270298399,1
0,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,0.0,-5.101767099992115,1
0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0.0,-5.097620496328362,1
1,1,0,0,1,0,1,0,1,0,1,1,0,1,1,1,0.0,-5.084645115601935,1
1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0.0,-5.028704421432281,1
0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0,-5.01,1
0,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,0.0,-5.0054822441748374,1
0,0,1,1,0,1,1,0,0,0,1,1,1,1,1,1,0.0,-4.974208725877748,1
0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0.0,-4.97,1
0,1,0,1,0,0,1,0,0,1,1,1,0,0,1,1,0.0,-4.928757747221116,1
1,1,0,1,1,0,1,0,0,1,1,1,0,0,1,1,0.0,-4.874488339784083,1
0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0.0,-4.866567721135869,1
0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0.0,-4.8,1
0,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0.0,-4.760110837468808,1
1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0.0,-4.738594748744338,1
1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0.0,-4.515730592562966,1
0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0.0,-4.031727735121391,1
